time,SO2,CO,O3,NO2,PM10,PM25,기온(°C),습도(%),풍속(m/s),month,day,hour,전일_미세먼지_PM10
2022-01-01 00:00:00,0.003,0.4,0.026,0.016,23.0,12.0,-8.5,41,1.9,1,1,0,0.0
2022-01-01 01:00:00,0.003,0.4,0.022,0.02,20.0,9.0,-9.2,42,1.8,1,1,1,0.0
2022-01-01 02:00:00,0.003,0.5,0.014,0.028,20.0,9.0,-9.5,43,1.2,1,1,2,0.0
2022-01-01 03:00:00,0.003,0.5,0.016,0.027,19.0,10.0,-9.3,46,1.4,1,1,3,0.0
2022-01-01 04:00:00,0.003,0.5,0.005,0.04,24.0,11.0,-9.6,48,1.7,1,1,4,0.0
2022-01-01 05:00:00,0.003,0.6,0.002,0.045,19.0,11.0,-9.7,51,0.8,1,1,5,0.0
2022-01-01 06:00:00,0.003,0.6,0.002,0.044,24.0,14.0,-9.8,53,1.9,1,1,6,0.0
2022-01-01 07:00:00,0.003,0.6,0.002,0.042,27.0,16.0,-10.1,55,1.9,1,1,7,0.0
2022-01-01 08:00:00,0.003,0.6,0.006,0.038,26.0,12.0,-10.2,56,2.5,1,1,8,0.0
2022-01-01 09:00:00,0.004,0.5,0.019,0.024,22.0,10.0,-9.1,56,2.1,1,1,9,0.0
2022-01-01 10:00:00,0.004,0.4,0.024,0.02,22.0,10.0,-6.8,42,2.3,1,1,10,0.0
2022-01-01 11:00:00,0.004,0.5,0.021,0.025,22.0,10.0,-4.3,37,0.9,1,1,11,0.0
2022-01-01 12:00:00,0.004,0.5,0.02,0.028,28.0,17.0,-2.3,34,1.2,1,1,12,0.0
2022-01-01 13:00:00,0.004,0.5,0.02,0.027,27.0,15.0,-0.1,32,1.5,1,1,13,0.0
2022-01-01 14:00:00,0.004,0.5,0.02,0.03,29.0,18.0,1.3,32,2.2,1,1,14,0.0
2022-01-01 15:00:00,0.004,0.5,0.017,0.032,29.0,18.0,1.9,35,1.7,1,1,15,0.0
2022-01-01 16:00:00,0.004,0.5,0.012,0.039,36.0,20.0,1.8,37,1.4,1,1,16,0.0
2022-01-01 17:00:00,0.004,0.6,0.005,0.046,34.0,21.0,0.5,38,1.5,1,1,17,0.0
2022-01-01 18:00:00,0.004,0.7,0.002,0.052,35.0,22.0,-0.9,42,0.7,1,1,18,0.0
2022-01-01 19:00:00,0.004,0.7,0.002,0.05,34.0,19.0,-1.2,45,0.9,1,1,19,0.0
2022-01-01 20:00:00,0.004,0.8,0.002,0.053,36.0,20.0,-1.6,47,0.9,1,1,20,0.0
2022-01-01 21:00:00,0.004,1.0,0.002,0.06,38.0,23.0,-2.4,49,2.1,1,1,21,0.0
2022-01-01 22:00:00,0.005,1.2,0.002,0.066,41.0,29.0,-2.5,49,1.0,1,1,22,0.0
2022-01-01 23:00:00,0.005,1.2,0.002,0.064,42.0,26.0,-2.6,52,0.9,1,1,23,0.0
2022-01-02 00:00:00,0.004,0.8,0.002,0.052,38.0,24.0,-2.8,55,2.3,1,2,0,23.0
2022-01-02 01:00:00,0.004,0.8,0.002,0.052,34.0,23.0,-2.9,57,2.1,1,2,1,20.0
2022-01-02 02:00:00,0.004,0.8,0.002,0.052,35.0,26.0,-2.6,57,1.9,1,2,2,20.0
2022-01-02 03:00:00,0.004,0.6,0.002,0.046,33.0,24.0,-2.1,56,2.5,1,2,3,19.0
2022-01-02 04:00:00,0.003,0.5,0.005,0.039,33.0,25.0,-1.9,55,2.0,1,2,4,24.0
2022-01-02 05:00:00,0.004,0.5,0.005,0.037,32.0,23.0,-1.9,56,2.3,1,2,5,19.0
2022-01-02 06:00:00,0.003,0.5,0.004,0.041,33.0,26.0,-1.9,66,2.5,1,2,6,24.0
2022-01-02 07:00:00,0.003,0.6,0.002,0.042,33.0,22.0,-2.2,81,2.0,1,2,7,27.0
2022-01-02 08:00:00,0.003,0.6,0.003,0.042,35.0,22.0,-2.2,83,2.0,1,2,8,26.0
2022-01-02 09:00:00,0.003,0.6,0.006,0.039,34.0,24.0,-1.9,82,1.4,1,2,9,22.0
2022-01-02 10:00:00,0.003,0.6,0.012,0.031,42.0,30.0,-0.8,81,0.7,1,2,10,22.0
2022-01-02 11:00:00,0.003,0.6,0.022,0.017,56.0,45.0,0.0,80,3.3,1,2,11,22.0
2022-01-02 12:00:00,0.004,0.6,0.027,0.016,58.0,46.0,1.4,74,2.4,1,2,12,28.0
2022-01-02 13:00:00,0.004,0.5,0.031,0.014,55.0,43.0,1.4,67,3.6,1,2,13,27.0
2022-01-02 14:00:00,0.004,0.5,0.037,0.012,43.0,33.0,2.4,55,3.5,1,2,14,29.0
2022-01-02 15:00:00,0.004,0.5,0.036,0.013,34.0,27.0,2.5,46,3.3,1,2,15,29.0
2022-01-02 16:00:00,0.004,0.4,0.035,0.014,33.0,24.0,2.5,45,3.0,1,2,16,36.0
2022-01-02 17:00:00,0.003,0.4,0.032,0.017,31.0,24.0,1.2,45,2.7,1,2,17,34.0
2022-01-02 18:00:00,0.003,0.4,0.03,0.017,25.0,17.0,-0.5,40,2.9,1,2,18,35.0
2022-01-02 19:00:00,0.003,0.5,0.025,0.02,24.0,15.0,-1.6,41,2.0,1,2,19,34.0
2022-01-02 20:00:00,0.003,0.5,0.028,0.017,26.0,18.0,-2.6,46,1.6,1,2,20,36.0
2022-01-02 21:00:00,0.003,0.5,0.023,0.021,27.0,19.0,-2.9,48,2.7,1,2,21,38.0
2022-01-02 22:00:00,0.003,0.5,0.016,0.027,27.0,18.0,-3.8,49,2.1,1,2,22,41.0
2022-01-02 23:00:00,0.003,0.5,0.018,0.025,25.0,18.0,-4.4,48,2.9,1,2,23,42.0
2022-01-03 00:00:00,0.003,0.5,0.017,0.025,22.0,17.0,-5.2,51,1.6,1,3,0,38.0
2022-01-03 01:00:00,0.003,0.5,0.018,0.023,22.0,15.0,-5.8,52,2.1,1,3,1,34.0
2022-01-03 02:00:00,0.003,0.5,0.016,0.024,22.0,15.0,-6.4,56,1.7,1,3,2,35.0
2022-01-03 03:00:00,0.003,0.6,0.013,0.026,20.0,14.0,-7.0,59,1.6,1,3,3,33.0
2022-01-03 04:00:00,0.003,0.6,0.01,0.03,23.0,16.0,-7.2,61,1.3,1,3,4,33.0
2022-01-03 05:00:00,0.003,0.6,0.008,0.036,18.0,13.0,-7.4,59,0.3,1,3,5,32.0
2022-01-03 06:00:00,0.003,0.5,0.005,0.039,22.0,13.0,-7.8,55,2.1,1,3,6,33.0
2022-01-03 07:00:00,0.003,0.7,0.003,0.046,21.0,14.0,-7.7,54,2.0,1,3,7,33.0
2022-01-03 08:00:00,0.003,0.8,0.003,0.047,28.0,14.0,-7.6,55,1.6,1,3,8,35.0
2022-01-03 09:00:00,0.004,0.9,0.005,0.049,25.0,13.0,-6.9,55,1.7,1,3,9,34.0
2022-01-03 10:00:00,0.004,0.9,0.005,0.051,37.0,23.0,-4.0,55,1.2,1,3,10,42.0
2022-01-03 11:00:00,0.004,0.7,0.008,0.045,32.0,21.0,-1.4,44,1.5,1,3,11,56.0
2022-01-03 12:00:00,0.003,0.7,0.012,0.039,33.0,18.0,0.9,36,2.1,1,3,12,58.0
2022-01-03 13:00:00,0.004,0.5,0.016,0.034,28.0,15.0,1.7,43,2.8,1,3,13,55.0
2022-01-03 14:00:00,0.004,0.5,0.015,0.036,32.0,20.0,2.0,43,2.4,1,3,14,43.0
2022-01-03 15:00:00,0.004,0.5,0.015,0.036,32.0,20.0,2.2,48,2.2,1,3,15,34.0
2022-01-03 16:00:00,0.004,0.5,0.015,0.036,32.0,20.0,2.3,49,2.4,1,3,16,33.0
2022-01-03 17:00:00,0.004,0.5,0.004,0.043,32.0,20.0,1.6,56,3.0,1,3,17,31.0
2022-01-03 18:00:00,0.004,0.5,0.006,0.039,27.0,15.0,1.3,58,1.9,1,3,18,25.0
2022-01-03 19:00:00,0.004,0.6,0.007,0.039,22.0,15.0,1.3,65,2.6,1,3,19,24.0
2022-01-03 20:00:00,0.003,0.6,0.004,0.043,20.0,16.0,1.2,68,1.8,1,3,20,26.0
2022-01-03 21:00:00,0.004,0.5,0.005,0.039,19.0,13.0,1.1,74,2.8,1,3,21,27.0
2022-01-03 22:00:00,0.004,0.5,0.003,0.041,21.0,15.0,0.9,75,1.5,1,3,22,27.0
2022-01-03 23:00:00,0.003,0.5,0.002,0.043,21.0,14.0,0.6,75,1.3,1,3,23,25.0
2022-01-04 00:00:00,0.003,0.5,0.002,0.043,25.0,18.0,0.7,81,1.6,1,4,0,22.0
2022-01-04 01:00:00,0.003,0.5,0.01,0.03,25.0,16.0,0.7,81,1.3,1,4,1,22.0
2022-01-04 02:00:00,0.003,0.5,0.012,0.025,28.0,20.0,-0.4,77,2.4,1,4,2,22.0
2022-01-04 03:00:00,0.003,0.4,0.016,0.02,30.0,21.0,-1.6,78,2.0,1,4,3,20.0
2022-01-04 04:00:00,0.003,0.5,0.02,0.015,31.0,23.0,-2.2,76,2.5,1,4,4,23.0
2022-01-04 05:00:00,0.003,0.5,0.018,0.017,29.0,21.0,-2.9,74,3.3,1,4,5,18.0
2022-01-04 06:00:00,0.003,0.5,0.016,0.02,33.0,24.0,-3.6,73,2.6,1,4,6,22.0
2022-01-04 07:00:00,0.003,0.6,0.014,0.023,35.0,25.0,-4.0,76,2.5,1,4,7,21.0
2022-01-04 08:00:00,0.004,0.6,0.009,0.028,37.0,30.0,-4.6,75,1.9,1,4,8,28.0
2022-01-04 09:00:00,0.004,0.6,0.014,0.023,37.0,26.0,-4.3,73,3.8,1,4,9,25.0
2022-01-04 10:00:00,0.004,0.6,0.02,0.019,38.0,26.0,-3.5,66,2.8,1,4,10,37.0
